,edad,genero,salario,paises,titulo_academico,puesto_trabajo,años_experiencia,sector_laboral,tamaño_empresa,lenguaje_programacion
340,18-29,Mujer,0-14K,Italia,Master,Data Analyst,1-3 years,Académico/Educación,Mediana,"Python, R, Other"
361,18-29,Hombre,0-14K,Polonia,Master,Business Analyst,< 1 years,Contabilidad/Finanzas,Pequeña, None
363,30-44,Hombre,+40K,Estados Unidos,Grado,Business Analyst,5-10 years,Ventas al por menor,Multinacional,"Python, R, SQL"
375,18-29,Mujer,0-14K,India,Grado,Data Analyst,3-5 years,Médico/farmacéutico,Multinacional,"Python, SQL, Other"
396,45-59,Hombre,+40K,España,Grado,Data Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Pequeña, R
405,18-29,Hombre,0-14K,Colombia,Grado,Data Analyst,1-3 years,Radio/Comunicaciones,Multinacional,"Python, SQL, Java, Javascript"
413,18-29,Hombre,0-14K,India,Grado,Business Analyst,3-5 years,Gobierno/servicio público,Multinacional,"Python, R, MATLAB"
430,30-44,Mujer,15K-39K,Estados Unidos,Grado,Data Analyst,< 1 years,Fabricación,Startup," R, SQL"
431,30-44,Mujer,0-14K,Italia,Grado,Business Analyst,< 1 years,Contabilidad/Finanzas,Startup,"Python, R, SQL, C++, MATLAB"
436,30-44,Hombre,0-14K,Indonesia,Master,Data Analyst,5-10 years,Académico/Educación,Pequeña,"Python, SQL, C++"
440,18-29,Hombre,0-14K,Sri Lanka,Grado,Data Analyst,1-3 years,Hostelería/Entretenimiento/Deportes,Startup,"Python, SQL, Javascript, Other"
454,18-29,Hombre,+40K,Estados Unidos,Master,Data Analyst,< 1 years,Tecnológico,Grande,"Python, SQL"
457,30-44,Hombre,+40K,Estados Unidos,Master,Data Analyst,10-20 years,Tecnológico,Pequeña,"Python, R, SQL, MATLAB"
461,30-44,Mujer,15K-39K,Reino Unido,Grado,Data Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Pequeña,"Python, SQL"
462,18-29,Hombre,No sabe/No contesta,China,Master,Business Analyst,5-10 years,Académico/Educación,Startup,Python
467,18-29,Mujer,0-14K,India,Master,Data Analyst,< 1 years,Ventas al por menor,Pequeña,"Python, R, SQL"
477,18-29,Mujer,0-14K,India,Grado,Data Analyst,I have never written code,Otros,Multinacional,No sabe/No contesta
509,18-29,Mujer,No sabe/No contesta,Turquia,Master,Data Analyst,1-3 years,Gobierno/servicio público,Startup,"Python, SQL, MATLAB"
521,30-44,Hombre,15K-39K,China,Grado,Data Analyst,< 1 years,Fabricación,Multinacional,Python
533,18-29,Hombre,0-14K,India,Master,Data Analyst,< 1 years,Tecnológico,Multinacional,"Python, SQL"
535,60-70+,Hombre,+40K,Italia,Grado,Business Analyst,5-10 years,Gobierno/servicio público,Grande,"Python, R, C, C++"
541,18-29,Hombre,No sabe/No contesta,Estados Unidos,Estudios Universitarios,Data Analyst,< 1 years,Envío/Transporte,Mediana,"Python, R, SQL"
560,30-44,Hombre,No sabe/No contesta,Japon,Estudios Universitarios,Business Analyst,< 1 years,Ventas al por menor,Grande,Python
564,18-29,Hombre,15K-39K,Pakistan,Grado,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, Javascript"
574,30-44,Hombre,No sabe/No contesta,Otros,Grado,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, R"
578,18-29,Hombre,No sabe/No contesta,Ucrania,Grado,Data Analyst,< 1 years,,No sabe/No contesta,Python
587,30-44,Hombre,No sabe/No contesta,Kenia,Grado,Data Analyst,1-3 years,,No sabe/No contesta,"Python, R, SQL"
588,18-29,Hombre,0-14K,India,Master,Business Analyst,1-3 years,Tecnológico,Grande,"Python, SQL, Java, Javascript"
603,18-29,Hombre,No sabe/No contesta,Rusia,Master,Business Analyst,< 1 years,Tecnológico,Multinacional,Python
606,30-44,Hombre,No sabe/No contesta,Iran,Doctorado,Data Analyst,3-5 years,Médico/farmacéutico,Grande,"Python, SQL, Java, Javascript"
608,18-29,Hombre,+40K,Otros,Master,Business Analyst,< 1 years,Otros,Startup,"Python, SQL"
612,45-59,Hombre,No sabe/No contesta,Estados Unidos,Estudios Universitarios,Data Analyst,10-20 years,Académico/Educación,Pequeña,"Python, SQL, Javascript, Bash"
613,45-59,Hombre,No sabe/No contesta,Polonia,Master,Business Analyst,< 1 years,Contabilidad/Finanzas,Pequeña, SQL
619,30-44,Mujer,+40K,Otros,Grado,Data Analyst,1-3 years,Radio/Comunicaciones,Grande," C, C++, MATLAB"
624,18-29,Mujer,No sabe/No contesta,China,Prefiero no responder,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, Java"
629,18-29,Hombre,No sabe/No contesta,Corea del Sur,Grado,Data Analyst,1-3 years,,No sabe/No contesta,"Python, R"
632,30-44,Hombre,No sabe/No contesta,Otros,Doctorado,Data Analyst,< 1 years,,No sabe/No contesta,Python
638,30-44,Hombre,15K-39K,Rusia,Master,Data Analyst,3-5 years,Académico/Educación,Mediana,Python
644,30-44,Hombre,No sabe/No contesta,China,Master,Business Analyst,1-3 years,Marketing/CRM,Startup," SQL, Java"
652,18-29,Hombre,No sabe/No contesta,Peru,Grado,Data Analyst,1-3 years,Fabricación,Pequeña,"Python, R, SQL"
665,18-29,Hombre,+40K,Estados Unidos,Grado,Data Analyst,3-5 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
671,30-44,Hombre,+40K,Reino Unido,Estudios Universitarios,Business Analyst,1-3 years,Envío/Transporte,Mediana,"Python, SQL"
675,45-59,Hombre,15K-39K,Egipto,Grado,Data Analyst,3-5 years,Energía/Minería,Grande,"Python, R, SQL, Other"
681,18-29,Hombre,0-14K,Vietnam,Master,Business Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Mediana, SQL
689,30-44,Mujer,0-14K,Emiratos Arabes,Master,Business Analyst,5-10 years,Energía/Minería,Pequeña,"Python, SQL, C++, Javascript, Bash"
709,18-29,Mujer,No sabe/No contesta,Otros,Master,Data Analyst,3-5 years,Académico/Educación,Startup,"Python, C++, Java, MATLAB"
710,30-44,Hombre,0-14K,Belgica,Grado,Data Analyst,20+ years,Académico/Educación,Grande,"Python, R, SQL, Other"
723,18-29,Mujer,0-14K,India,Master,Data Analyst,< 1 years,Tecnológico,Pequeña,"Python, SQL"
727,18-29,Mujer,No sabe/No contesta,Indonesia,Estudios Universitarios,Data Analyst,20+ years,,No sabe/No contesta, R
730,30-44,Hombre,15K-39K,Alemania,Master,Data Analyst,1-3 years,Radio/Comunicaciones,Pequeña," R, SQL"
736,30-44,Hombre,No sabe/No contesta,Iran,Master,Business Analyst,3-5 years,Servicio en línea/Servicios basados ​​en Internet,Startup,"Python, Javascript, Other"
752,18-29,Hombre,0-14K,Colombia,Grado,Business Analyst,1-3 years,Tecnológico,Startup,"Python, SQL, Javascript, Bash"
754,30-44,Hombre,15K-39K,Francia,Master,Data Analyst,1-3 years,Marketing/CRM,Startup,"Python, R, SQL, Javascript"
755,30-44,Hombre,No sabe/No contesta,China,Estudios Universitarios,Data Analyst,1-3 years,Tecnológico,Pequeña,Python
756,18-29,Hombre,15K-39K,Corea del Sur,Grado,Data Analyst,< 1 years,Marketing/CRM,Startup,"Python, R"
763,30-44,Mujer,No sabe/No contesta,Nigeria,Master,Data Analyst,< 1 years,Energía/Minería,Grande," R, SQL"
772,30-44,Mujer,0-14K,Otros,Master,Data Analyst,3-5 years,Marketing/CRM,Pequeña, None
775,30-44,Hombre,No sabe/No contesta,Vietnam,Grado,Business Analyst,< 1 years,Fabricación,Startup,Python
779,18-29,Mujer,No sabe/No contesta,India,Grado,Business Analyst,1-3 years,Tecnológico,Multinacional, SQL
784,18-29,Hombre,15K-39K,Rusia,Bachillerato,Data Analyst,5-10 years,Negocios en línea/ventas basadas en Internet,Mediana,"Python, SQL"
804,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,< 1 years,Otros,Startup,"Python, SQL"
823,45-59,Hombre,15K-39K,Grecia,Grado,Data Analyst,< 1 years,Médico/farmacéutico,Grande,"Python, SQL, Other"
826,18-29,Hombre,No sabe/No contesta,China,Grado,Data Analyst,< 1 years,Académico/Educación,Startup,Python
830,18-29,Hombre,No sabe/No contesta,Brasil,Grado,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, C"
846,18-29,Hombre,No sabe/No contesta,Egipto,Grado,Data Analyst,3-5 years,Servicio en línea/Servicios basados ​​en Internet,Startup,"Python, SQL"
873,30-44,Hombre,0-14K,Kenia,Master,Business Analyst,1-3 years,Académico/Educación,Pequeña,"Python, SQL, MATLAB"
881,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,< 1 years,Académico/Educación,Startup,Python
885,30-44,Mujer,+40K,Reino Unido,Master,Business Analyst,1-3 years,Tecnológico,Multinacional,"Python, SQL"
921,18-29,Hombre,No sabe/No contesta,India,Prefiero no responder,Business Analyst,1-3 years,Tecnológico,Multinacional,"Python, R, SQL, C, C++, Java"
945,18-29,Mujer,No sabe/No contesta,Vietnam,Grado,Business Analyst,1-3 years,,No sabe/No contesta,"Python, R, SQL, Java, Javascript"
949,18-29,Mujer,No sabe/No contesta,India,Grado,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, SQL, C, Java"
951,30-44,Mujer,+40K,Rusia,Master,Data Analyst,3-5 years,Servicio en línea/Servicios basados ​​en Internet,Multinacional,"Python, SQL"
959,18-29,Hombre,No sabe/No contesta,Japon,Bachillerato,Business Analyst,1-3 years,Gobierno/servicio público,Grande,"Python, Other"
965,30-44,Hombre,15K-39K,Indonesia,Master,Data Analyst,1-3 years,Fabricación,Grande,"Python, R, SQL, Java"
969,18-29,Mujer,15K-39K,India,Grado,Business Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Multinacional,"Python, SQL, C, MATLAB"
972,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,I have never written code,Contabilidad/Finanzas,Startup,No sabe/No contesta
978,18-29,Mujer,0-14K,India,Master,Data Analyst,1-3 years,Seguro/Evaluación de Riesgos,Multinacional,"Python, SQL, Other"
979,18-29,Mujer,+40K,India,Master,Data Analyst,< 1 years,Tecnológico,Mediana,"Python, SQL, C"
980,30-44,Hombre,No sabe/No contesta,Egipto,Master,Data Analyst,< 1 years,Médico/farmacéutico,Grande,Python
985,18-29,Hombre,15K-39K,India,Master,Business Analyst,1-3 years,Marketing/CRM,Multinacional, SQL
994,30-44,Hombre,+40K,China,Master,Data Analyst,3-5 years,Energía/Minería,Startup,"Python, C, C++, Java"
996,18-29,Hombre,No sabe/No contesta,India,Master,Business Analyst,< 1 years,,No sabe/No contesta,Python
1008,30-44,Mujer,0-14K,Corea del Sur,Master,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, R"
1019,45-59,Hombre,0-14K,Peru,Master,Business Analyst,10-20 years,Tecnológico,Mediana," SQL, Java, Other"
1031,18-29,Mujer,No sabe/No contesta,Reino Unido,Master,Business Analyst,I have never written code,Hostelería/Entretenimiento/Deportes,Startup,No sabe/No contesta
1048,30-44,Mujer,No sabe/No contesta,Nigeria,Master,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, R, SQL"
1058,30-44,Hombre,0-14K,Taiwan,Master,Data Analyst,5-10 years,Radio/Comunicaciones,Multinacional,"Python, R, SQL"
1061,18-29,Mujer,0-14K,Turquia,Master,Data Analyst,< 1 years,Ventas al por menor,Pequeña," R, Other"
1065,60-70+,Hombre,No sabe/No contesta,Estados Unidos,Master,Data Analyst,20+ years,Gobierno/servicio público,Multinacional,"Python, SQL, MATLAB, Other"
1070,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, R, C, C++"
1089,30-44,Hombre,No sabe/No contesta,Estados Unidos,Grado,Data Analyst,1-3 years,,No sabe/No contesta,"Python, R, SQL"
1097,30-44,Mujer,15K-39K,Portugal,Master,Data Analyst,5-10 years,Contabilidad/Finanzas,Pequeña," SQL, Other"
1098,30-44,Hombre,15K-39K,India,Master,Data Analyst,I have never written code,Tecnológico,Multinacional,No sabe/No contesta
1099,30-44,Hombre,+40K,Australia,Master,Data Analyst,3-5 years,Gobierno/servicio público,Mediana,"Python, SQL"
1101,45-59,Hombre,0-14K,Egipto,Master,Business Analyst,20+ years,Fabricación,Grande,"Python, R, SQL, C, C++, Java, Javascript, MATLAB, Other"
1103,18-29,Mujer,No sabe/No contesta,Turquia,Master,Data Analyst,5-10 years,Tecnológico,Startup,"Python, SQL"
1107,18-29,Hombre,No sabe/No contesta,Egipto,Grado,Business Analyst,3-5 years,Radio/Comunicaciones,Grande, MATLAB
1113,18-29,Mujer,+40K,Alemania,Grado,Data Analyst,1-3 years,Otros,Multinacional,"Python, SQL"
1121,30-44,Mujer,0-14K,Corea del Sur,Master,Business Analyst,< 1 years,Tecnológico,Startup,"Python, SQL"
1127,30-44,Mujer,No sabe/No contesta,India,Master,Data Analyst,5-10 years,Tecnológico,Startup,Python
1132,18-29,Mujer,0-14K,India,Grado,Data Analyst,I have never written code,Contabilidad/Finanzas,Grande,No sabe/No contesta
1136,18-29,Hombre,0-14K,China,Master,Data Analyst,1-3 years,Negocios en línea/ventas basadas en Internet,Mediana,Python
1142,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,1-3 years,Tecnológico,Startup,"Python, SQL, Java"
1143,18-29,Hombre,0-14K,India,Grado,Data Analyst,< 1 years,Fabricación,Pequeña, R
1159,30-44,Hombre,No sabe/No contesta,Turquia,Grado,Data Analyst,< 1 years,Académico/Educación,Startup,Python
1170,30-44,Hombre,0-14K,Pakistan,Master,Business Analyst,3-5 years,Contabilidad/Finanzas,Grande, R
1178,45-59,Hombre,+40K,Corea del Sur,Doctorado Profesional,Business Analyst,5-10 years,Académico/Educación,Pequeña, SQL
1182,18-29,Hombre,0-14K,Filipinas,Grado,Data Analyst,1-3 years,Marketing/CRM,Startup,"Python, R, SQL, Other"
1190,60-70+,Hombre,+40K,Estados Unidos,Master,Business Analyst,I have never written code,Seguro/Evaluación de Riesgos,Startup,No sabe/No contesta
1192,30-44,Mujer,No sabe/No contesta,India,Master,Business Analyst,< 1 years,Tecnológico,Multinacional,"Python, R"
1198,60-70+,Hombre,0-14K,Taiwan,Doctorado,Data Analyst,1-3 years,Académico/Educación,Mediana,Python
1202,30-44,Mujer,+40K,Australia,Doctorado,Data Analyst,3-5 years,Tecnológico,Pequeña,"Python, SQL"
1211,30-44,Mujer,+40K,Estados Unidos,Master,Business Analyst,I have never written code,Contabilidad/Finanzas,Startup,No sabe/No contesta
1230,18-29,Mujer,0-14K,Nigeria,Master,Data Analyst,< 1 years,Contabilidad/Finanzas,Multinacional,"Python, R, SQL, C"
1231,30-44,Hombre,0-14K,Alemania,Master,Data Analyst,< 1 years,Fabricación,Mediana,Python
1235,18-29,Hombre,0-14K,India,Grado,Data Analyst,< 1 years,Médico/farmacéutico,Grande,"Python, SQL"
1249,18-29,Hombre,0-14K,China,Estudios Universitarios,Data Analyst,< 1 years,ONG/Servicio,Grande,"Python, C, MATLAB"
1259,18-29,Hombre,No sabe/No contesta,Pakistan,Grado,Data Analyst,< 1 years,Académico/Educación,Startup,Python
1270,30-44,Hombre,0-14K,Otros,Master,Data Analyst,1-3 years,Gobierno/servicio público,Pequeña,"Python, R, SQL"
1281,30-44,Hombre,No sabe/No contesta,Estados Unidos,Master,Business Analyst,10-20 years,Ventas al por menor,Multinacional,"Python, R, SQL, C, C++, Java, Javascript, Julia, Swift, Bash, MATLAB"
1287,30-44,Hombre,No sabe/No contesta,Alemania,Doctorado,Data Analyst,10-20 years,Marketing/CRM,Grande,"Python, SQL"
1304,30-44,Mujer,+40K,Alemania,Master,Data Analyst,5-10 years,Envío/Transporte,Multinacional, R
1308,30-44,Mujer,No sabe/No contesta,Nigeria,Master,Business Analyst,< 1 years,Tecnológico,Grande,Python
1310,18-29,Hombre,No sabe/No contesta,Otros,Estudios Universitarios,Business Analyst,1-3 years,Envío/Transporte,Startup,Python
1312,18-29,Hombre,0-14K,Nigeria,Master,Data Analyst,< 1 years,ONG/Servicio,Startup,"Python, SQL"
1313,18-29,Mujer,No sabe/No contesta,India,Grado,Data Analyst,< 1 years,Otros,Startup,"Python, SQL"
1323,60-70+,Prefiero no decirlo,+40K,Estados Unidos,Master,Data Analyst,I have never written code,Gobierno/servicio público,Multinacional,No sabe/No contesta
1345,30-44,Mujer,0-14K,Rusia,Master,Business Analyst,5-10 years,Tecnológico,Startup,"Python, SQL"
1351,45-59,Hombre,+40K,Reino Unido,Estudios Universitarios,Business Analyst,20+ years,Ventas al por menor,Multinacional,"Python, SQL, Other"
1361,18-29,Hombre,0-14K,Otros,Master,Business Analyst,I have never written code,Servicio en línea/Servicios basados ​​en Internet,Startup,No sabe/No contesta
1368,18-29,Mujer,No sabe/No contesta,India,Grado,Data Analyst,1-3 years,Tecnológico,Grande,Python
1370,30-44,Hombre,15K-39K,China,Master,Business Analyst,3-5 years,Contabilidad/Finanzas,Startup,Python
1376,18-29,Mujer,0-14K,India,Master,Business Analyst,1-3 years,Tecnológico,Multinacional,"Python, SQL"
1378,30-44,Hombre,No sabe/No contesta,Arabia Saudi,Grado,Business Analyst,< 1 years,Académico/Educación,Startup, Java
1382,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,3-5 years,Tecnológico,Grande,"Python, R, SQL, C, C++, Java, Javascript"
1385,45-59,Hombre,+40K,España,Grado,Data Analyst,5-10 years,Gobierno/servicio público,Grande,"Python, SQL, Bash"
1386,18-29,Mujer,No sabe/No contesta,Indonesia,Estudios Universitarios,Business Analyst,I have never written code,Contabilidad/Finanzas,Multinacional,No sabe/No contesta
1395,45-59,Mujer,0-14K,Polonia,Master,Business Analyst,< 1 years,Académico/Educación,Grande, None
1404,18-29,Hombre,+40K,Francia,Master,Business Analyst,3-5 years,Fabricación,Mediana,Python
1415,18-29,Hombre,0-14K,Brasil,Grado,Data Analyst,1-3 years,Contabilidad/Finanzas,Pequeña,"Python, R"
1421,30-44,Hombre,No sabe/No contesta,Ucrania,Master,Data Analyst,3-5 years,Otros,Startup,"Python, Javascript"
1440,30-44,Hombre,+40K,Nigeria,Doctorado,Business Analyst,3-5 years,Contabilidad/Finanzas,Mediana,"Python, R, SQL"
1446,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,< 1 years,Otros,No sabe/No contesta,Python
1447,30-44,Hombre,15K-39K,Reino Unido,Master,Business Analyst,< 1 years,Envío/Transporte,Multinacional,"Python, SQL"
1465,18-29,Hombre,0-14K,India,Grado,Business Analyst,5-10 years,Otros,Multinacional,"Python, SQL, C++, Java"
1472,18-29,Mujer,0-14K,India,Master,Data Analyst,1-3 years,Tecnológico,Pequeña,"Python, SQL"
1475,30-44,Hombre,0-14K,Corea del Sur,Estudios Universitarios,Data Analyst,1-3 years,Tecnológico,Pequeña,Python
1479,18-29,Hombre,15K-39K,Singapur,Grado,Data Analyst,1-3 years,Gobierno/servicio público,Grande,Python
1482,18-29,Mujer,No sabe/No contesta,Pakistan,Master,Data Analyst,< 1 years,Tecnológico,Pequeña, R
1485,30-44,Hombre,+40K,Australia,Grado,Business Analyst,1-3 years,Ventas al por menor,Grande, None
1500,18-29,Hombre,No sabe/No contesta,Egipto,Grado,Data Analyst,< 1 years,Tecnológico,Pequeña,"Python, SQL, C++, Java, MATLAB"
1521,60-70+,Hombre,0-14K,Otros,Doctorado,Business Analyst,1-3 years,Marketing/CRM,Startup," C++, Java, Javascript"
1523,18-29,Hombre,0-14K,China,Estudios Universitarios,Data Analyst,1-3 years,Tecnológico,Startup,"Python, C++, MATLAB"
1525,30-44,Hombre,No sabe/No contesta,Nigeria,Grado,Data Analyst,< 1 years,Académico/Educación,Pequeña,"Python, R, SQL"
1526,30-44,Hombre,0-14K,Turquia,Master,Business Analyst,3-5 years,Radio/Comunicaciones,Grande,"Python, Julia"
1535,18-29,Hombre,No sabe/No contesta,India,Master,Business Analyst,1-3 years,Otros,Mediana,"Python, SQL, C++"
1540,18-29,Mujer,No sabe/No contesta,India,Grado,Data Analyst,3-5 years,Otros,Startup,"Python, SQL, C, Java, Javascript"
1542,30-44,Mujer,+40K,Alemania,Master,Data Analyst,< 1 years,Fabricación,Multinacional, None
1547,60-70+,Hombre,+40K,Estados Unidos,Master,Business Analyst,20+ years,Militar/Seguridad/Defensa,Multinacional,"Python, SQL, Other"
1556,30-44,Hombre,0-14K,Chile,Grado,Business Analyst,5-10 years,Servicio en línea/Servicios basados ​​en Internet,Pequeña,"Python, SQL, Javascript, Other"
1562,18-29,Hombre,No sabe/No contesta,Nigeria,Grado,Data Analyst,< 1 years,Académico/Educación,Pequeña,"Python, R"
1568,30-44,Hombre,+40K,India,Master,Business Analyst,10-20 years,Académico/Educación,Startup,"Python, C, C++, Bash, MATLAB"
1569,30-44,Mujer,+40K,Canada,Master,Business Analyst,< 1 years,Tecnológico,Pequeña,Python
1574,30-44,Mujer,15K-39K,Sudafrica,Grado,Data Analyst,3-5 years,ONG/Servicio,Startup,"Python, Other"
1591,30-44,Hombre,+40K,Paises Bajos,Master,Data Analyst,1-3 years,ONG/Servicio,Mediana, R
1593,30-44,Hombre,0-14K,Brasil,Grado,Data Analyst,10-20 years,Energía/Minería,Mediana,"Python, SQL, Bash, Other"
1599,18-29,Hombre,0-14K,Estados Unidos,Doctorado Profesional,Business Analyst,20+ years,Académico/Educación,Pequeña,"Python, C, C++, Javascript, Julia, Swift"
1603,18-29,Mujer,No sabe/No contesta,India,Grado,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, SQL"
1610,45-59,Mujer,+40K,Estados Unidos,Master,Data Analyst,20+ years,Médico/farmacéutico,Multinacional,"Python, SQL, Other"
1642,18-29,Hombre,+40K,Estados Unidos,Grado,Data Analyst,1-3 years,Tecnológico,Pequeña,"Python, SQL"
1651,30-44,Hombre,No sabe/No contesta,Egipto,Master,Data Analyst,1-3 years,Otros,Startup,"Python, R, SQL, Javascript"
1653,45-59,Hombre,+40K,Japon,Master,Data Analyst,20+ years,Tecnológico,Pequeña,"Python, SQL"
1657,18-29,Hombre,+40K,Reino Unido,Grado,Data Analyst,1-3 years,Médico/farmacéutico,Multinacional,Python
1669,30-44,No binario,0-14K,India,Grado,Data Analyst,< 1 years,Contabilidad/Finanzas,Multinacional,"Python, R, SQL"
1677,18-29,Hombre,0-14K,India,Grado,Business Analyst,3-5 years,Tecnológico,Grande,"Python, R, SQL"
1678,30-44,Mujer,0-14K,India,Doctorado,Data Analyst,< 1 years,ONG/Servicio,Startup,"Python, C, Java"
1680,18-29,Hombre,+40K,India,Grado,Data Analyst,1-3 years,Académico/Educación,Grande,"Python, SQL, C, C++"
1681,30-44,Hombre,0-14K,India,Grado,Data Analyst,1-3 years,Tecnológico,Pequeña,"Python, R"
1686,18-29,Hombre,0-14K,Colombia,Master,Data Analyst,1-3 years,Energía/Minería,Mediana,"Python, R, SQL"
1690,60-70+,Hombre,0-14K,Mexico,Master,Data Analyst,5-10 years,Gobierno/servicio público,Multinacional,"Python, R, SQL, Java"
